PctBach,X,Y,TotPop90,PctRural,PctEld,PctFB,PctPov,PctBlack
7.8,739255.8,3866604,15992,100,17.3,0.58,17.2,0.03
25.8,731468.7,3700612,62415,53.9,6.99,2.85,2.6,5.13
13.7,662257.4,3789664,81251,36.1,13.84,1.09,13.6,13.56
15.6,765397.3,3789005,44083,93.7,8.38,1.17,6.8,0
9.5,845701.3,3813323,16650,87.2,14.59,0.44,16.5,9.89
31.6,733728.4,3733248,648951,4.2,9.63,4.13,18.4,49.92
8.6,732702.3,3844809,13368,100,12.91,0.45,16.6,0.26
5.3,908386.8,3685752,2357,100,13.28,0.42,16.8,12.69
19.9,1023411,3471063,62496,20.3,13.2,1.37,14.3,25.57
9.2,695325.1,3822135,35072,79.7,10.09,0.64,11.1,3.78
7.7,765058.1,3421817,20279,55.4,13.84,0.74,22.3,31.5
8.8,855577.3,3722330,11793,75.7,13.49,0.5,25.1,49.89
29.6,772634.6,3764306,352910,13.6,4.51,5.05,4,5.11
12,818917.1,3839931,27621,88.5,12.31,2.92,11.6,5.42
15.4,794419.5,3803344,95428,81.1,10.25,4.6,10.6,8.48
6.8,873518.8,3689861,8908,100,12.39,0.27,30.1,79.64
7.5,665933.8,3740622,21966,67.8,12.62,0.69,14.4,6.47
13.6,695500.6,3624790,17788,95.8,13,1.11,13.7,25.49
9.1,870749.9,3810303,19712,73.8,15.08,0.32,14.2,20.41
5.7,675280.4,3685569,8628,100,12.03,0.35,19.1,13.38
10.7,763488.4,3699716,58741,76,7.77,0.98,6.1,10.24
16,814118.9,3590553,89208,20.9,7.3,2.25,10.6,21.8
8.3,855461.8,3506293,8649,63.4,14.45,0.15,27.2,30.5
9,815753.1,3783949,30005,78,11.23,0.62,14.1,9.58
10.8,807249.1,3695092,8453,100,13.12,0.99,17.4,34.8
8.3,915741.9,3530869,12032,65.1,10.53,0.64,18.8,15.36
6.2,924108.1,3668080,17408,100,13.36,0.4,31.3,55.92
7.7,970465.7,3640263,8247,53.8,13.1,0.21,27.8,41.51
4.9,908636.7,3624562,8329,100,13.86,0.29,22.2,33.89
12,821367.1,3660143,20739,81.9,8.54,0.52,10.8,25.6
10,766461.7,3663959,13038,63.6,12.62,0.34,16.3,34.03
5.4,873804.3,3439981,5531,100,10.83,0.85,25.9,26.58
12,884830.4,3599291,39988,52.9,12.39,0.49,20.5,33.32
13.7,770455.5,3520161,16250,78.2,6.5,0.7,12.6,19.22
13.4,1014742,3537225,52745,32.9,3.38,3.85,17.2,39.15
8.2,919396.5,3752562,7442,100,14.27,0.26,17.8,38.19
5.2,1004544,3517834,6202,100,8.53,2.02,23.7,21.75
16.3,864781.1,3419313,75981,47.6,8.99,1.53,19.9,31.88
11.1,772600,3832429,14573,78.6,9.29,0.76,15.3,1.41
10.4,917730.9,3716368,20119,65.9,11.16,0.22,21.6,36.38
8.7,1030500,3500535,8634,100,12.8,0.27,22.3,43.34
10.1,777055.3,3584821,13114,65.6,12.05,0.98,29.2,58.72
9.7,848638.8,3785405,21050,100,10.98,0.81,15.7,8.32
4.6,732876.8,3584393,5590,100,12.02,0.43,28.2,41.32
6.7,715359.8,3660275,22411,82.3,12.79,0.31,22.4,44.62
8.2,716369.8,3451034,6280,100,15.16,0.41,22.1,27.48
7.8,766238.6,3453930,20275,56.2,12.31,0.58,28.7,47.91
12.9,790338.7,3660608,17113,75.1,9.6,0.93,13.8,31.78
10.1,920887.4,3568473,7163,98.6,12.26,1.44,24.5,28.27
11,825920.1,3717990,12883,73,12.69,0.83,15,34.74
5.5,707834.3,3854188,26147,89,7.69,0.5,11.3,0.26
16.6,700833.7,3598228,179278,3.2,10.31,3.4,18.6,37.95
9.5,793263.9,3719734,41808,76,10.14,0.78,14.4,22.35
28.4,830735.9,3750903,17618,95.2,8.67,0.98,7.9,7.37
12.8,863291.8,3756777,9763,100,11.37,0.62,16.2,24.74
7.6,695329.2,3758093,41611,93.7,7.12,0.66,8.8,3.94
15.2,798061.4,3609091,21189,61.3,10.03,1.62,24,47.53
9,733846.7,3812828,14432,100,12.44,0.2,12.8,1.48
6.3,953533.8,3482044,13328,74.4,11.07,0.7,21.3,11.69
9.3,744180.8,3665561,10224,100,11.94,0.82,13.4,20.04
6.8,668031.4,3764766,33815,66.5,13.72,0.95,16.3,14.3
10.7,833819.6,3567447,8108,56.5,14.15,1.76,24.3,32.46
11.7,840169.1,3695254,14137,66.5,11.61,1.85,16.4,32.79
7.3,686875.4,3524124,2209,100,17.07,0.95,33,49.93
11.6,824645.5,3864805,11648,100,17.18,1.13,13.6,0.35
6,712437.1,3519627,8023,53.5,16.08,0.86,35.9,58.17
17.3,954272.3,3697862,189719,9.9,9.35,3.01,18.2,41.96
18.1,777759,3729605,54091,59.2,7.64,2.01,6.2,8.03
8,752973.1,3570222,3588,100,13.38,0.25,19.9,34.09
8.6,1004028,3641918,13842,79.3,14.02,0.61,22.9,44.69
7.8,704495.6,3422002,9010,69.4,14.2,5.69,29.1,32.74
11.1,754916.2,3685029,54457,53.6,11.12,0.77,15.6,29.08
13.1,842085.9,3827075,23257,64.5,14.88,1.09,17,11.81
8,703256.8,3552857,5654,100,16.29,0.16,31.4,63.46
15.9,763457.1,3551752,30228,45.4,11.45,0.59,24.8,46.53
7.1,734217.9,3623162,6524,97.9,13.5,0.34,24.9,62.34
5.6,884376.9,3717493,1915,100,19.22,0.78,31.9,61.36
6.5,963427.8,3560039,17722,79.3,12.5,2.05,21.9,29.19
7.1,759410.8,3608179,7642,100,14.43,0.48,29.5,43.21
8.6,882069.4,3534470,11000,72.6,16.25,0.04,27.3,34.45
9.2,743031.8,3522636,10653,50.3,14.18,0.25,29.1,59.9
13.4,795506.2,3421725,38986,55.2,13.3,0.72,22.6,37.93
14,831682.3,3487715,34998,51.1,10.69,2.77,22.9,26.68
11.4,941734.4,3567586,24072,35.7,11.65,0.9,24,23.38
11.4,797981.7,3872640,6754,100,22.96,1.36,14,0
6.3,919077.6,3595170,5994,53.3,14.98,0.13,27.1,33.1
13.6,682616.8,3660254,55536,44,12.93,0.99,16.3,30.03
7.2,819399.6,3514927,8703,44.5,13.56,0.35,31.3,40.66
4.8,832935,3623868,9806,100,10.43,0.22,26,45.93
10.1,777040.1,3858779,11993,100,17.55,0.88,18.3,0.1
9,752165.2,3639192,26300,65.3,14.81,0.57,14.7,27.78
8.4,658870.4,3842167,58340,44.8,12.8,0.42,12.8,3.73
9.4,800384.3,3742691,38586,61.2,10.64,0.65,13.2,18.37
10.4,938349.6,3446675,35471,54.2,13.89,0.62,21.1,25.88
4.2,902471.1,3699878,6078,100,14.81,0.49,32.6,60.23
9.8,894704.3,3648583,19112,67.1,12.35,0.2,21.6,51.86
9.6,986832.8,3494323,22356,59.9,10.88,0.5,21.2,19.45
5.5,731576.3,3544716,2263,100,14.49,0.09,22.5,50.2
8.6,898776.3,3563384,4903,100,15.07,0.35,30.3,30.06
13.6,796905.6,3841086,13006,100,13.81,1.18,12.5,2.59
12,686891.4,3855274,72462,70,9.48,2.55,11.1,4.06
7.6,838551.5,3538547,7008,100,15.71,0.09,28.6,31.76
10.4,891228.5,3749769,10597,59.6,16.64,0.43,22.6,45.94
8.8,858796.9,3637891,10228,100,11.36,0.29,15.3,41.99
6.3,801018.1,3487328,19745,71.1,11.5,0.59,26.2,30.71
